ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other,display
103-0194,Holy Cross Boys' Primary School ,Roman Catholic Maintained,401,BT147EX,54.613824,-5.95902,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,200.24984394500788,0,397-401,0-4,Local Catholic Church
103-0313,Our Lady of Lourdes Primary School ,Roman Catholic Maintained,618,BT155GQ,54.645265,-5.936343,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,248.59605789312104,0-4,583,31-35,Local Catholic Church
103-0326,Our Lady's Girls' Primary School ,Roman Catholic Maintained,215,BT146NN,54.622333,-5.954723,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,146.6287829861518,0,202,13,Local Catholic Church
103-0331,Holy Cross Girls' Primary School ,Roman Catholic Maintained,195,BT147HZ,54.619665,-5.968111,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,139.64240043768942,0-4,187,04-Aug,Local Catholic Church
103-0868,St Anne's Primary School ,Roman Catholic Maintained,882,BT100NE,54.553711,-5.99478,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,296.9848481,0-4,804,74-78,Diocesan / Catechetical advisors<br>Local Catholic Church<br>Other Christian Charities
103-6041,Mercy Primary School ,Roman Catholic Maintained,233,BT147GL,54.616832,-5.970079,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,152.64337522473747,0,218,15,Local Catholic Church
103-6042,St Vincent de Paul Primary School ,Roman Catholic Maintained,289,BT148DP,54.626198,-5.98375,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,170,5,261,23,Local Catholic Church
103-6048,St Mary's Star of the Sea Primary School ,Roman Catholic Maintained,134,BT154HL,54.64153,-5.92493,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,115.75836902790226,0-4,120,Oct-14,Local Catholic Church<br>Love for Life
103-6075,St Bride's Primary School ,Roman Catholic Maintained,855,BT96FP,54.578167,-5.943836,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,292.4038303442689,29,567,259,Local Catholic Church
103-6132,St Therese of Lisieux Primary School ,Roman Catholic Maintained,420,BT155GF,54.630367,-5.938957,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,204.93901531919195,0-4,385,31-35,Local Catholic Church
103-6140,St Michael's Primary School ,Roman Catholic Maintained,416,BT60BW,54.579297,-5.91224,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,203.9607805437114,0-4,365,47-51,Local Catholic Church
103-6246,St Joseph's Primary School ,Roman Catholic Maintained,385,BT56EH,54.594685,-5.870834,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,196.21416870348585,6,309,70,Local Catholic Church
103-6466,St Malachy's Primary School ,Roman Catholic Maintained,392,BT72BJ,54.593294,-5.923624,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,197.9898987322333,0-4,186-190,202,Local Catholic Church
103-6471,Sacred Heart Primary School ,Roman Catholic Maintained,158,BT146HH,54.616187,-5.949969,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,125.69805089976536,0-4,145,Sep-13,Local Catholic Church
103-6505,St Matthew's Primary School ,Roman Catholic Maintained,334,BT54EW,54.599014,-5.906743,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,182.75666882497063,0-4,252,78-82,Local Catholic Church
103-6565,St Kevin's Primary School ,Roman Catholic Maintained,564,BT126EN,54.588061,-5.97004,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,237.48684174075836,0-4,468,92-96,Local Catholic Church
103-6566,Holy Family Primary School ,Roman Catholic Maintained,486,BT152HP,54.615547,-5.935015,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,220.4540769,0-4,394,88-92,Local Catholic Church
103-6576,Holy Child Primary School ,Roman Catholic Maintained,493,BT118JF,54.576323,-5.991334,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,222.0360331117452,0,489-493,0-4,Local Catholic Church
103-6589,St Teresa's Primary School ,Roman Catholic Maintained,612,BT118BL,54.581356,-5.989771,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,247.3863375370596,0,576,36,Local Catholic Church
