,blue,catholic,display,estimated_total_visits,green,lat,lon,name,no_religion,no_withdrawn,estimated_non_christian_string,other,other_christian,other_religion,other_string,protestant,radius_freq,red,pupils_total_2024_25,unclassified,url
301-0804,158.0,0.0,Bushmills Free Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Scripture Union: <1/month,9.0,23.0,55.17219,-6.453421,"Straidbilly Primary School, Ballymoney",9.0,Zero,9-13 (11-15%),18.0,6.5,0.0,18 (21%),66.0,123.2217606072622,155.0,84.0,2.5,9.0
301-0808,166.0,0.0,Scripture Union: <1/month,3.0,6.0,54.827894,-5.8119,"Glynn Primary School, Larne",20.5,Zero,19-22 (23-26%),23.0,2.5,0.0,23 (27%),61.0,103.25226779316873,133.0,84.0,0.0,3.0
301-0809,138.0,2.5,Ballycarry Old Presbyterian: 1-3/month<br>Ballycarry Presbyterian: 1-3/month<br>St John's Church of Ireland: 1-3/month,32.0,48.0,54.776248,-5.752936,"Ballycarry Primary School, Carrickfergus",6.0,Zero,6-15 (15-38%),13.5,0.0,0.0,12-15 (31-38%),23.0,136.7065401664102,183.0,39.0,7.5,32.0
301-0816,109.0,3.5,1st Randalstown Presbyterian Church: monthly<br>2nd Randalstown Presbyterian Church: monthly<br>Child Evangelism Fellowship: <1/month<br>Drummaul Parish Church: monthly<br>OC Presbyterian Church: monthly,39.0,83.0,54.749065,-6.324768,Randalstown Central Primary School,38.0,5 or fewer,41-44 (25-27%),71.5,29.0,3.5,70-73 (43-45%),90.0,176.70192413685152,213.0,164.0,0.0,39.0
301-0817,91.0,18.0,Greenisland Baptist Church: <1/month<br>Greenisland Church of Ireland: <1/month<br>Greenisland Presbyterian Church: <1/month,10.0,108.0,54.700702,-5.873986,"Greenisland Primary School, Carrickfergus",155.0,5 or fewer,156-168 (38-41%),244.0,76.0,2.5,244 (60%),148.0,231.0709550321204,229.0,410.0,10.5,10.0
301-0818,105.0,3.0,Coaching for Christ: weekly<br>Glenwherry Presbyterian Church: 1-3/month<br>Hope for Youth Ministries: once<br>Kells Presbyterian Church: 1-3/month<br>Scripture Union: twice,57.0,89.0,54.828612,-6.154571,"Moorfields Primary School, Ballymena",30.0,5 or fewer,28-35 (13-17%),56.5,23.0,0.0,55-58 (26-28%),150.0,196.09119698011003,217.0,209.0,3.0,57.0
301-0822,108.0,0.0,2nd Randalstown Presbyterian Church: twice per term<br>Asia Link: once<br>Child Evangelism Fellowship: twice per term<br>Free Presbyterian: twice per term<br>Gospel Hall: monthly<br>Grange Baptist Church: twice<br>Magherafelt Presbyterian Church: once<br>Scripture Union: termly,34.0,86.0,54.785559,-6.367003,"Groggan Primary School, Randalstown",18.0,Zero,18-25 (14-20%),38.0,13.0,0.0,38 (30%),90.0,183.2057440176445,215.0,128.0,7.0,34.0
301-0825,168.0,0.0,No External Visitors,0.0,0.0,54.815706,-6.268867,"Carnaghts Primary School, Shankbridge",6.0,Zero,6-10 (7-12%),18.0,9.5,0.0,18 (21%),66.0,88.78775382679626,114.0,84.0,2.5,0.0
301-0826,150.0,2.5,"Church of Ireland Portglenone: <1/month<br>Coaching for Christ: <1/month<br>Elim Church Cullybackey: <1/month<br>Methodist Church Cullybackey: <1/month<br>Presbyterian Church In Cullybackey, Ahoghill and Portglenone: <1/month<br>Scripture Union: <1/month",19.0,34.0,54.882061,-6.377391,"The Diamond Primary School, Cullybackey",9.0,Zero,6-13 (4-8%),27.5,16.0,0.0,26-29 (17-19%),124.0,139.6161392317999,168.0,154.0,2.5,19.0
301-0827,42.0,18.0,Equipping for Life: weekly<br>Scripture Union: <1/month,35.0,188.0,54.661514,-5.909372,"Whitehouse Primary School, Newtownabbey",153.0,8,164 (38%),213.0,49.0,11.0,213 (49%),202.0,251.97183320602213,253.0,433.0,0.0,35.0
301-0828,120.0,2.5,DID NOT RESPOND TO SURVEY,,120.0,54.760094,-6.052729,"Kilbride Central Primary School, Ballyclare",23.0,,23-27 (24-28%),32.5,7.0,0.0,31-34 (32-35%),61.0,200.0,120.0,96.0,2.5,https://parentsforinclusiveeducationni.org/
301-0829,106.0,36.0,All Saints Antrim Church of Ireland: <1/month<br>Antrim Baptist Church: <1/month<br>Antrim Elim Church: <1/month<br>Antrim Free Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>First Antrim Presbyterian Church: <1/month<br>High Street Presbyterian Church: <1/month<br>Scripture Union: <1/month,27.0,88.0,54.717316,-6.212895,Antrim Primary School,56.0,5 or fewer,73-77 (12.7-13.4%),134.0,57.0,18.5,134 (23%),405.0,202.3573869942623,216.0,575.0,2.5,27.0
