,blue,catholic,display,estimated_total_visits,green,lat,lon,name,no_religion,no_withdrawn,estimated_non_christian_string,other,other_christian,other_religion,other_string,protestant,radius_freq,red,pupils_total_2024_25,unclassified,url
306-6551,129.0,98.0,"All Saints’ Church, Ballymena: twice",2.0,59.0,54.877536,-6.257056,"Braidside Integratead Primary School, Ballymena",102.0,10,116-142 (36-45%),159.0,17.0,14.0,159 (50%),62.0,179.87995196156157,192.0,319.0,26.0,2.0
306-6561,144.0,77.0,"Church of Ireland, Kilwaughter, Craigyhill and Cairncastle Parish: <1/month<br>Craigyhill Methodist Church: <1/month<br>St Vincent D’Paul Society: <1/month",10.0,40.0,54.871247,-5.822981,"Corran Integrated Primary School, Larne",66.0,Zero,66 (30%),82.0,16.0,0.0,82 (37%),62.0,147.51749509282675,175.0,221.0,0.0,10.0
306-6568,76.0,56.0,"Bible Educational Services: 1-3/month<br>Downshire Presbyterian Church, Carrickfergus: 1-3/month<br>Jesuits: 1-3/month<br>Scripture Union: 1-3/month<br>St. Nicholas's Parish Church Carrickfergus: 1-3/month",52.0,130.0,54.725719,-5.793737,"Acorn Integrated Primary School, Carrickfergus",55.0,Zero,56-59 (25-27%),64.0,6.5,2.5,64 (29%),101.0,207.03238668126784,241.0,221.0,0.0,52.0
306-6613,160.0,97.0,Church of The Assumption Magherafelt: <1/month,2.0,18.0,54.741074,-6.621168,"Spires Integrated Primary School, Magherafelt",26.0,Zero,27-55 (13-27%),59.0,5.5,2.5,59 (29%),47.0,125.21904571390466,150.0,203.0,25.0,2.0
306-6652,120.0,40.0,"Gospel Hall: monthly<br>St Macnissi Church, Randalstown: once",10.0,70.0,54.756122,-6.329665,"Maine Integrated Primary School, Randalstown",53.0,5 or fewer,54-74 (38-52%),78.0,5.5,2.5,78 (55%),23.0,164.1640786499874,202.0,141.0,17.0,10.0
401-0512,136.0,2.5,Child Evangelism Fellowship: termly<br>Crown Jesus Ministries: once<br>Crumlin Baptist Church: termly<br>Dundrod Presbyterian Church: termly,10.0,51.0,54.61365,-6.121373,"McKinney Primary School, Dundrod",29.0,5 or fewer,26-33 (16-21%),84.0,51.0,0.0,84 (53%),74.0,149.3984924527944,185.0,159.0,2.5,10.0
401-0720,128.0,6.0,Ballinderry Parish Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Emmanuel Baptist Church: <1/month<br>Magheragall Parish Church: <1/month<br>Magheragall Presbyterian: <1/month<br>Scripture Union: <1/month<br>St John's Church of Ireland Stoneyford: <1/month,23.0,61.0,54.552823,-6.149273,"Ballycarrickmaddy Primary School, Lisburn",27.0,Zero,27-36 (14-19%),59.0,23.0,0.0,59 (31%),127.0,162.26064509076616,194.0,192.0,9.0,23.0
401-0743,95.0,2.5,Bethany Church: termly<br>Emmanuel Baptist Church: termly<br>Free Methodist: termly<br>Lisburn Cathedral: termly<br>Scripture Union: termly<br>Sloan Street Presbyterian Church: termly<br>Stand By Me: once,19.0,103.0,54.509093,-6.026521,"Largymore Primary School, Lisburn",102.0,5 or fewer,111-118 (57-61%),140.0,24.0,12.0,140 (72%),52.0,190.5490579231158,227.0,195.0,2.5,19.0
401-0762,108.0,13.0,Bethany Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Christ Church Lisburn: <1/month<br>Emmanuel Baptist Church: <1/month<br>Norman Fox Missionary Cause: <1/month<br>Railway Street Presbyterian: <1/month<br>Scripture Union: <1/month<br>Seymour Street Methodist: <1/month,24.0,86.0,54.513033,-6.042298,"Brownlee Primary School, Lisburn",73.0,Zero,74-84 (36-41%),104.0,20.0,2.5,104 (50%),89.0,177.88995314025092,215.0,206.0,8.5,24.0
401-0788,114.0,17.0,Dunmurry Non-Subscribing Church: termly<br>Dunmurry Presbyterian Church: termly<br>Finaghy Baptist Church: termly<br>Scripture Union: termly<br>St Colman's Church of Ireland: termly,15.0,78.0,54.54738,-6.004209,Dunmurry Primary School,67.0,5 or fewer,83 (39%),127.0,44.0,16.0,127 (60%),67.0,180.83766107971843,209.0,211.0,0.0,15.0
401-0807,104.0,18.0,"Child Evangelism Fellowship: <1/month<br>Christ Church, Lisburn: <1/month<br>Emmanuel Baptist, Lisburn: <1/month<br>First Presbyterian, Lisburn: <1/month<br>Scripture Union: <1/month",16.0,90.0,54.50666,-6.047637,Lisburn Central Primary School,84.0,18,116-121 (53-55%),130.0,9.0,32.0,130 (59%),71.0,180.5884399275908,218.0,219.0,5.0,16.0
401-0882,37.0,4.0,"Bethany Church, Finaghy: <1/month<br>Child Evangelism Fellowship: <1/month<br>Dunmurry Free Presbyterian Church: <1/month<br>Equipping for Life: weekly<br>Scripture Union: <1/month<br>St. Hilda's Church of Ireland: <1/month<br>Walk Through The Bible UK: <1/month",51.0,206.0,54.542758,-6.011065,"Seymour Hill Primary School, Belfast",82.0,5 or fewer,95-102 (40-43%),123.0,24.0,13.0,123 (52%),110.0,229.6090289022837,252.0,237.0,4.0,51.0
401-0885,139.0,25.0,Child Evangelism Fellowship: <1/month<br>Equipping for Life: 1-3/month<br>Free Presbyterian Mission Board: <1/month<br>Scripture Union: <1/month,19.0,47.0,54.510269,-6.055278,"Tonagh Primary School, Lisburn",38.0,5 or fewer,46-50 (21-22%),55.0,6.5,8.0,55 (25%),143.0,150.72374779232624,182.0,223.0,2.5,19.0
401-1265,129.0,6.0,"Church of Ireland, Donaghadee: <1/month<br>First Presbyterian Church, Donaghadee: <1/month<br>Methodist Church, Donaghadee: <1/month<br>Scrabo Hall (Newtownards): <1/month<br>Shore Street Presbyterian Church, Donaghadee: <1/month",18.0,59.0,54.624764,-5.561653,"Ballyvester Primary School, Donaghadee",49.0,5 or fewer,50-57 (43-49%),68.0,14.0,2.5,68 (58%),43.0,150.53347756436472,192.0,117.0,2.5,18.0
401-1300,126.0,0.0,Cardy Gospel Hall: <1/month<br>Child Evangelism Fellowship: <1/month<br>Free Presbyterian Mission Board: <1/month<br>St Saviour's Church of Ireland: <1/month<br>Trinity Presbyterian: <1/month,17.0,63.0,54.534315,-5.560855,"Greyabbey Primary School, Newtownards",24.0,5 or fewer,25-28 (34-38%),34.0,7.5,2.5,34 (46%),40.0,146.01597326730746,196.0,74.0,0.0,17.0
401-1310,123.0,2.5,Ballygowan Free Presbyterian Church: 8 visits<br>Ballygowan Presbyterian Church: 8 visits<br>Jim Patterson Ministries: 8 visits<br>Moneyrea Community Church: 8 visits,32.0,66.0,54.481438,-5.779138,"Carrickmannon Primary School, Ballygowan",2.5,Zero,1-24 (1-24%),30.5,8.0,0.0,29-32 (29-32%),68.0,159.79984591670362,199.0,101.0,20.0,32.0
401-1345,84.0,16.0,"1st Ards Presbyterian, Newtownards: <1/month<br>Ards Baptist, Newtownards: <1/month<br>Dundonald Elim Church, Dundonald: <1/month<br>Other Christian Charities: <1/month<br>Regent Street Methodist Church, Newtownards: <1/month<br>Scrabo Hall Church, Newtownards: <1/month<br>Scripture Union: <1/month<br>St. Mark's Church of Ireland, Newtownards: <1/month<br>Stand By Me: <1/month",30.0,118.0,54.590302,-5.709097,Newtownards Model Primary School,105.0,Zero,131-144 (34-38%),185.0,41.0,26.0,185 (49%),180.0,214.2096368433023,235.0,381.0,13.0,30.0
401-1373,92.0,2.5,Cardy Gospel Hall: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Trinity Presbyterian Cloughey: 1-3/month,30.0,107.0,54.438402,-5.470164,"Kirkistown Primary School, Newtownards",6.0,5 or fewer,6-14 (11-25%),32.0,18.0,0.0,32 (56%),24.0,174.71252290563623,229.0,57.0,6.5,30.0
401-1462,60.0,12.0,Movilla Abbey: 1-3/month<br>Movilla Presbyterian: 1-3/month<br>Scrabo Hall: 1-3/month<br>Scripture Union: 1-3/month,39.0,154.0,54.58927,-5.675735,"Castle Gardens Primary School, Newtownards",147.0,5 or fewer,148-160 (42-45%),185.0,25.0,2.5,185 (52%),158.0,224.3881694948549,249.0,355.0,10.5,39.0
401-1488,131.0,2.5,Bangor Free Presbyterian: <1/month<br>Cardy Gospel Hall: <1/month<br>Glastry Methodist Church: <1/month<br>Glastry Presbyterian Church: <1/month,14.0,56.0,54.491214,-5.466748,"Victoria Primary School, Ballyhalbert",28.0,Zero,28-36 (31-40%),35.5,2.5,0.0,34-37 (37-41%),53.0,147.77955399362415,190.0,91.0,5.0,14.0
401-1507,84.0,3.5,"Cardy Hall, Carrowdore: twice per term<br>Free Presbyterian Church of Ireland, Portavogie: monthly<br>Free Presbyterian Kids: twice monthly<br>Jim Patterson Ministries: twice per term<br>Methodist, Glastry: termly",42.0,119.0,54.456661,-5.446211,"Portavogie Primary School, Newtownards",28.0,Zero,27-34 (14-18%),45.5,13.0,0.0,44-47 (23-24%),145.0,206.3632614803888,236.0,193.0,3.5,42.0
401-1566,47.0,2.5,Ballyhalbert Gospel Hall: <1/month<br>Ballywalter Presbyterian Church: 1-3/month<br>Cardy Gospel Hall: 1-3/month<br>Child Evangelism Fellowship: <1/month<br>Holy Trinity – Church of Ireland: 1-3/month<br>Patterson Ministeries Re Dundonald Elim Church: <1/month<br>Scrabo Hall – Christian Evangelical Church: <1/month,45.0,178.0,54.545489,-5.489073,"Ballywalter Primary School, Ballywater",41.0,5 or fewer,41-59 (28-40%),82.0,24.0,0.0,82 (55%),64.0,213.53668376026164,253.0,148.0,16.5,45.0
401-1567,33.0,14.0,"Ballynahinch Baptist: weekly<br>Ballynahinch Congregational Church: weekly<br>Edengrove Presbyterian Church: weekly<br>First Church, Ballynahinch: weekly",129.0,248.0,54.399625,-5.905841,Ballynahinch Primary School,49.0,5 or fewer,49-58 (22-26%),77.0,19.0,0.0,77 (34%),133.0,259.4794108411472,239.0,224.0,9.0,129.0
401-1578,133.0,0.0,Ballygowan Free Presbyterian Church: <1/month<br>Carryduff Presbyterian Church: <1/month<br>Church of Ireland – Youth Worker: <1/month<br>Down Cathedral Church of Ireland: <1/month<br>Free Presbyterian Church Youth Worker: <1/month<br>Hope for Youth Ministries: <1/month<br>Killinchy & Kilmood Church of Ireland: <1/month<br>Killyleagh Baptist Church: <1/month<br>Kilmore Presbyterian Church: <1/month<br>Raffrey Presbyterian Church: <1/month,34.0,54.0,54.438527,-5.731501,"Derryboy Primary School, Crossgar",21.0,5 or fewer,21 (24%),21.0,0.0,0.0,21 (24%),66.0,155.32322283143515,188.0,87.0,0.0,34.0
401-1584,36.0,2.5,Carr Baptist: <1/month<br>Carryduff Baptist: <1/month<br>Carryduff Free Presbyterian: <1/month<br>Carryduff Presbyterian: <1/month<br>Child Evangelism Fellowship: weekly,45.0,221.0,54.499381,-5.933577,"Carr Primary School, Lisburn",13.0,Zero,14-37 (16-41%),54.0,19.0,2.5,54 (60%),33.0,219.91251154211963,248.0,90.0,20.0,45.0
401-1587,63.0,45.0,Belfast City Mission: <1/month<br>Dundonald Baptist Church: <1/month<br>Dundonald Presbyterian Church: <1/month<br>Dundonald St. Elizabeths: <1/month<br>Scripture Union: <1/month,15.0,150.0,54.593022,-5.804927,Dundonald Primary School,228.0,5 or fewer,274-342 (31-39%),442.0,100.0,46.0,442 (50%),389.0,276.95631940562095,248.0,876.0,68.0,15.0
401-1588,78.0,2.5,Comber Baptist Church: <1/month<br>Comber Free Presbyterian: <1/month<br>Comber Methodist: <1/month<br>Comber Non – Subscribing Presbyterian Church: <1/month<br>First Comber Presbyterian Church: <1/month<br>Jim Patterson Ministries: <1/month<br>Scrabo Hall Church Ards: <1/month<br>Second Comber Presbyterian Church: <1/month<br>St Mary's C.O.I.: <1/month<br>Youth For Christ: <1/month,35.0,126.0,54.553579,-5.741611,Comber Primary School,114.0,Zero,119-130 (31-34%),152.5,24.0,6.5,151-154 (40-41%),224.0,210.6134594042028,239.0,379.0,8.0,35.0
401-1606,100.0,17.0,Braniel Community Church (C of I): <1/month<br>Child Evangelism Fellowship: <1/month<br>Eastpoint Church (Tullycarnet) - Non-Denominational: <1/month<br>Gilnahirk Baptist Church: <1/month<br>Gilnahirk Presbyterian Church: <1/month<br>Knock Presbyterian Church: <1/month<br>St Dorothea's Parish Church (C of I): <1/month<br>Tullycarnet Church (C of I): <1/month,27.0,96.0,54.58328,-5.839252,"Gilnahirk Primary School, Belfast",96.0,5 or fewer,103-107 (25-26%),150.0,43.0,8.5,150 (36%),252.0,203.0954314796301,222.0,419.0,2.5,27.0
401-1608,149.0,5.0,"Church of Ireland, Anahilt: <1/month<br>Loughaghery Presbyterian Church: <1/month",7.0,35.0,54.436158,-5.995735,Anahilt Primary School,9.0,5 or fewer,10-14 (7-10%),85.0,71.0,2.5,85 (59%),55.0,147.0779366201986,169.0,145.0,2.5,7.0
401-1619,116.0,13.0,"2nd Dromara Presbyterian Church: <1/month<br>Ballynahinch Free Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Hope for Youth Ministries: <1/month<br>St John's Church of Ireland, Dromara: <1/month",16.0,75.0,54.381024,-6.017972,Dromara Primary School,39.0,Zero,39-56 (24-35%),65.0,9.0,0.0,65 (40%),84.0,167.3158590881579,207.0,162.0,17.0,16.0
401-1631,95.0,22.0,"Bangor Road Presbyterian Church, Holywood: <1/month<br>Christian Fellowship Church (CFC): <1/month<br>Holywood Baptist Church: <1/month<br>Holywood Methodist Church: <1/month<br>St Philip & St. James’ Church, Holywood: <1/month",15.0,103.0,54.639408,-5.832077,Holywood Primary School,142.0,12,166-200 (39-47%),228.0,28.0,24.0,228 (53%),177.0,218.2128820180196,227.0,427.0,34.0,15.0
401-1632,148.0,14.0,Knockbreda Methodist: <1/month<br>Mount Merrion Parish Church: <1/month<br>Scripture Union: <1/month<br>St. Andrew's Presbyterian: <1/month<br>St. Bernard's RC Church: <1/month,16.0,36.0,54.575815,-5.902118,"Cregagh Primary School, Belfast",22.0,5 or fewer,28-39 (22-30%),50.0,11.0,6.0,50 (39%),65.0,137.09978826660685,170.0,129.0,11.0,16.0
401-1645,121.0,5.5,Ballygilbert Presbyterian Church: <1/month<br>Scripture Union: <1/month<br>Store House: <1/month<br>West Church Bangor: <1/month,11.0,69.0,54.657216,-5.725294,"Crawfordsburn Primary School, Bangor",83.0,5 or fewer,84-106 (46-58%),116.0,13.0,2.5,116 (63%),61.0,172.81589975674484,201.0,184.0,19.0,11.0
401-1646,36.0,9.0,1st Ards Presbyterian: 1-3/month<br>Crown Jesus Ministries: 1-3/month<br>Greenwell Street Presbyterian: 1-3/month<br>Regent Street Methodist: 1-3/month<br>Scrabo Hall: 1-3/month<br>Scripture Union: 1-3/month,61.0,217.0,54.594511,-5.688976,"Victoria Primary School, Newtownards",138.0,Zero,147 (33%),193.0,46.0,9.0,193 (44%),241.0,256.6099907596483,249.0,443.0,0.0,61.0
401-1650,55.0,45.0,"Ballyholme Presbyterian Church, Bangor: <1/month<br>Baptist Youth: <1/month<br>City Church, Bangor: <1/month<br>Hamilton Road Baptist Church, Bangor: <1/month<br>Hamilton Road Presbyterian Church, Bangor: <1/month<br>Scripture Union: <1/month<br>St. Columbanus Parish Church, Bangor: <1/month<br>Trinity Presbyterian Church, Bangor: <1/month",25.0,163.0,54.663737,-5.638807,"Ballyholme Primary School, Bangor",249.0,5 or fewer,254-258 (40-41%),386.0,128.0,6.5,386 (61%),198.0,272.2666989581952,251.0,629.0,2.5,25.0
401-1654,45.0,16.0,Baptist Youth: <1/month<br>Cardy Hall: <1/month<br>Donaghadee Methodist: <1/month<br>Donaghadeechurch of Ireland: <1/month<br>First Donaghadee Presbyterian Church: <1/month<br>Free Presbyterian Mission Board: <1/month<br>Other Christian Charities: <1/month<br>Play It By Ear: <1/month<br>Scrabo Hall: <1/month<br>Shore Street Presbyterian Church: <1/month,31.0,181.0,54.63977,-5.538089,Donaghadee Primary School,220.0,5 or fewer,221-225 (51-52%),293.0,68.0,2.5,293 (67%),127.0,253.94433017027268,253.0,436.0,2.5,31.0
401-1657,96.0,14.0,Child Evangelism Fellowship: <1/month<br>Glenburn Methodist: <1/month<br>Gransha Presbyterian: <1/month<br>Made for More: <1/month<br>New Testament Pentecostal: <1/month<br>Other Christian Charities: <1/month<br>Scripture Union: <1/month<br>St Finian's Parish Church: <1/month<br>Willowfield Parish: <1/month,28.0,102.0,54.573232,-5.886924,"Lisnasharragh Primary School, Belfast",93.0,5 or fewer,105-119 (27-31%),163.0,44.0,12.0,163 (43%),205.0,202.75596545393176,226.0,382.0,14.0,28.0
401-1670,80.0,3.0,Bangor Community Church: twice<br>Bangor Elim: 4 or 5 visits<br>Cardy Gospel Hall: 4 or 5 visits<br>Comber Free Presbyterian: termly<br>Evangelical Presbyterian: once<br>St Andrew's Presbyterian: 8 visits,22.0,124.0,54.651943,-5.68223,"Clandeboye Primary School, Bangor",101.0,5 or fewer,112-119 (39-41%),148.0,30.0,13.0,148 (52%),137.0,208.3928249678221,238.0,287.0,3.0,22.0
401-1674,109.0,27.0,Child Evangelism Fellowship: <1/month<br>Crown Jesus Ministries: <1/month<br>Knockbreda Methodist: 1-3/month<br>Scripture Union: <1/month<br>St Andrews Presbyterian: 1-3/month<br>St Johns Presbyterian: 1-3/month,40.0,83.0,54.567645,-5.903512,"Knockbreda Primary School, Belfast",18.0,Zero,20-24 (13-16%),51.0,27.0,3.0,51 (34%),73.0,167.43956852588838,213.0,151.0,3.0,40.0
401-1681,136.0,3.3333333333333335,"Baptist Youth: <1/month<br>Millisle and Ballycopeland Presbyterian Church: <1/month<br>St. Patricks C.O.I., Millisle: <1/month",8.0,51.0,54.606886,-5.530788,Millisle Primary School,100.0,5 or fewer,102-109 (43-46%),122.0,15.0,3.3333333333333335,122 (52%),110.0,159.34930708451145,185.0,235.0,3.3333333333333335,8.0
401-1683,120.0,8.0,DID NOT RESPOND TO SURVEY,,120.0,54.578406,-5.861274,"Braniel Primary School, Belfast",64.0,,73-208 (18-50%),249.0,41.0,9.0,249 (60%),159.0,200.0,120.0,416.0,135.0,https://parentsforinclusiveeducationni.org/
401-1698,62.0,46.0,"Child Evangelism Fellowship: monthly<br>Church of Ireland, Castlewellan: <1/month<br>Free Presbyterian Kids: monthly<br>Hope for Youth Ministries: <1/month<br>Newcastle Baptist Church: <1/month<br>Newcastle Methodist Church: <1/month<br>Newcastle Presbyterian Church: <1/month<br>Shimna Gospel Hall: <1/month<br>St John's Church of Ireland, Newcastle: <1/month",41.0,152.0,54.215296,-5.890331,Newcastle Primary School,49.0,5 or fewer,53-57 (25-27%),86.0,29.0,4.0,86 (41%),77.0,215.492214620457,248.0,209.0,4.0,41.0
401-1699,110.0,2.5,Granshaw Family Church: 1-3/month<br>Moneyreagh Community Church: 1-3/month<br>Moneyreagh Ns Church: <1/month,24.0,82.0,54.53365,-5.827986,Moneyrea Primary School,69.0,5 or fewer,70-73 (28-29%),127.0,54.0,2.5,127 (51%),122.0,188.45221025100977,212.0,250.0,0.0,24.0
401-3013,79.0,26.0,"Belvoir Parish Church, Belfast: <1/month<br>Belvoir Presbyterian Church, Belfast: <1/month<br>Christian Fellowship Church (CFC): 1-3/month<br>Knockbreda Baptist Church, Belfast: <1/month<br>Scripture Union: 1-3/month",30.0,125.0,54.551432,-5.930961,"Belvoir Park Primary School, Belfast",87.0,5 or fewer,93-99 (36-38%),134.0,35.0,6.0,134 (52%),100.0,205.14755898689373,239.0,260.0,6.0,30.0
401-3023,45.0,8.0,Bangor Community Church: <1/month<br>Bangor West Presbyterian Church: <1/month<br>Elim Church: <1/month<br>Hamilton Road Baptist: <1/month<br>Lisnabreen Church: <1/month<br>Scripture Union: <1/month,20.0,182.0,54.642995,-5.657145,"Bloomfield Primary School, Bangor",215.0,15,237-255 (57-61%),278.0,23.0,22.0,278 (67%),131.0,259.32655087803136,253.0,417.0,18.0,20.0
401-3043,123.0,10.0,Baptist Youth: <1/month<br>Castlereagh Presbyterian Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Mountpottinger Presbyterian Church: <1/month<br>Scripture Union: <1/month,13.0,66.0,54.57455,-5.873431,"Leadhill Primary School, Belfast",50.0,5 or fewer,55-63 (36-41%),80.0,17.0,5.0,80 (52%),63.0,162.6513521353197,199.0,153.0,8.0,13.0
401-3044,134.0,11.0,Carryduff Baptist Church: <1/month<br>Carryduff Community Church: <1/month<br>Carryduff Presbyterian Chruch: <1/month<br>St Ignatius Parish Church: <1/month,14.0,53.0,54.514043,-5.883604,"Carryduff Primary School, Belfast",45.0,5 or fewer,51-56 (28-31%),71.0,15.0,6.0,71 (39%),101.0,153.40797768997334,187.0,183.0,5.0,14.0
401-3045,84.0,16.0,Bangor Elim: <1/month<br>Hamilton Road Baptist: <1/month<br>Trinity Presbyterian: <1/month<br>West Church Bangor: monthly,19.0,118.0,54.658678,-5.687224,"Grange Park Primary School, Bangor",163.0,Zero,164-179 (42-46%),223.0,44.0,2.5,223 (57%),153.0,221.91021066511536,235.0,392.0,13.5,19.0
401-3046,160.0,2.5,Ballygowan Free Presbyterian Church: termly<br>Ballygowan Presbyterian Church: monthly<br>First Comber Presbyterian Church: once<br>Moneyrea Community Church: termly,16.0,18.0,54.502587,-5.789307,"Alexander Dickson Primary School, Ballygowan",14.5,5 or fewer,10-20 (12-24%),19.5,2.5,0.0,18-21 (22-26%),60.0,118.1816307401944,150.0,82.0,2.5,16.0
401-3305,76.0,45.0,Harmony Hill Presbyterian: twice<br>Made for More: twice<br>Other Christian Charities: once<br>Scripture Union: twice<br>St Columba's Church of Ireland: twice per term<br>St Patrick's Church of Ireland: once,14.0,130.0,54.524155,-6.034413,"Harmony Hill Primary School, Lisburn",178.0,30,218-255 (33-38%),319.0,64.0,40.0,319 (48%),300.0,253.8570972741316,241.0,664.0,37.0,14.0
401-3334,77.0,39.0,Child Evangelism Fellowship: c. 15 visits<br>Scripture Union: twice<br>St Columba's Lisburn: <1/month,21.0,129.0,54.508933,-6.076217,"Knockmore Primary School, Lisburn",87.0,5 or fewer,99-109 (43-47%),126.0,17.0,12.0,126 (55%),65.0,203.9748350861217,240.0,230.0,10.0,21.0
401-6002,92.0,0.0,"1st Bangor Presbyterian: <1/month<br>Bangor Free Presbyterian: <1/month<br>Church of Ireland, Bangor: <1/month<br>Hamilton Road Presbyterian: <1/month<br>Kilcooley West Church, Bangor: <1/month<br>Scripture Union: <1/month",21.0,107.0,54.64734,-5.698591,"Kilcooley Primary School, Bangor",120.0,Zero,121-140 (49-57%),153.0,14.5,2.5,153 (62%),93.0,189.40693785087552,229.0,246.0,16.0,21.0
401-6004,93.0,6.0,"Glen Community Church, Church of Ireland: <1/month<br>Newtownards First Presbyterian: <1/month<br>Regent Street Methodist Church: <1/month<br>Scrabo Hall: <1/month<br>St Mark's Church of Ireland: <1/month",18.0,106.0,54.601296,-5.701283,"Londonderry Primary School, Newtownards",129.0,5 or fewer,136-180 (34-45%),213.0,33.0,7.0,213 (54%),177.0,215.011015808562,228.0,396.0,44.0,18.0
401-6020,115.0,2.5,Baptist Youth: <1/month<br>Cardy Gospel Hall: <1/month<br>Carrowdore & Ballyfrenis Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Christ Church Carrowdore: <1/month,15.0,77.0,54.577901,-5.553502,"Carrowdore Primary School, Newtownards",52.0,Zero,52-64 (32-40%),82.0,18.0,0.0,82 (51%),78.0,168.34728228617473,208.0,161.0,10.5,15.0
401-6067,70.0,17.5,Ballygilbert Presbyterian: <1/month<br>Bangor Elim: <1/month<br>Bangor Methodist Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Hamilton Road Presbyterian Church: <1/month<br>Other Christian Charities: <1/month<br>Stand By Me: <1/month<br>West Church Presbyterian Church: <1/month,26.0,139.0,54.65743,-5.70329,Rathmore Primary School,187.0,5 or fewer,188-219 (37-43%),268.0,49.0,2.5,268 (52%),228.0,245.8245204188516,245.0,512.0,28.0,26.0
401-6083,115.0,2.5,Love for Life: <1/month<br>Newtownards Methodist Church: <1/month<br>Scrabo Hall: <1/month<br>Scrabo Presbyterian Church: <1/month<br>Scripture Union: <1/month<br>West Winds Community Church: <1/month,20.0,77.0,54.580548,-5.701756,"West Winds Primary School, Newtownards",48.0,Zero,48-73 (27-41%),81.5,8.5,0.0,80-83 (45-47%),94.0,166.35080540990398,208.0,178.0,25.0,20.0
401-6104,122.0,51.0,Moira Presbyterian - Moira: <1/month<br>St John's Church of Ireland – Moira: <1/month,7.0,68.0,54.48574,-6.241099,Moira Primary School,118.0,5 or fewer,127-131 (29-30%),165.0,34.0,10.5,165 (38%),220.0,187.007143924228,200.0,436.0,2.5,7.0
401-6111,84.0,11.0,Ballyholme Presbyterian: <1/month<br>Bangor Elim: <1/month<br>Free Methodist: <1/month<br>Groomsport Parish: <1/month<br>Scripture Union: <1/month,17.0,118.0,54.662489,-5.621875,"Towerview Primary School, Bangor",173.0,Zero,180-189 (39-41%),231.0,42.0,7.0,231 (51%),215.0,224.49714131597244,235.0,457.0,9.0,17.0
401-6123,118.0,2.5,"1st Presbyterian, Ballynahinch: <1/month<br>2nd Presbyterian, Ballynahinch: <1/month<br>Child Evangelism Fellowship: <1/month<br>Grace Fellowship Church: <1/month<br>Made for More: <1/month<br>New Testament Pentecostal Church: <1/month<br>Spa Presbyterian: <1/month",23.0,72.0,54.377049,-5.892661,"Spa Primary School, Ballynahinch",41.0,Zero,41-58 (20-28%),80.5,24.0,0.0,79-82 (39-40%),121.0,168.8615249741968,204.0,204.0,15.5,23.0
401-6126,61.0,5.5,1st Comber: est. 5-10 visits<br>2nd Comber: est. 5-10 visits<br>Christian Fellowship Church (CFC): est. 5-10 visits<br>Club Chaplain: est. 5-10 visits<br>Comber Baptist: est. 5-10 visits<br>Comber Free: est. 5-10 visits<br>Scrabo Hall: est. 5-10 visits<br>Youth For Christ: est. 5-10 visits,44.0,153.0,54.54411,-5.766368,"Andrews Memorial Primary School, Newtownards",102.0,Zero,103-129 (27-34%),167.0,39.0,2.5,167 (44%),211.0,228.9170681465017,249.0,383.0,23.0,44.0
401-6144,54.0,17.0,Child Evangelism Fellowship: <1/month<br>Church of Ireland Minister Christchurch – Lisburn: <1/month<br>Church of the Nazarene: <1/month<br>Presbyterian Minister St Columba's: <1/month<br>Presbyterian Mission: <1/month<br>Salt Factory: weekly<br>Scripture Union: <1/month,52.0,164.0,54.502595,-6.059131,"Old Warren Primary School, Lisburn",27.0,5 or fewer,34-55 (24-38%),63.0,8.0,7.0,63 (44%),63.0,214.76607788600748,251.0,143.0,21.0,52.0
401-6145,84.0,21.0,"Bethany Church, Lisburn Road, Belfast: <1/month<br>Elmwood Presbyterian, Ballymacash, Lisburn: <1/month<br>Salt Factory: <1/month<br>Seymour Street Methodist, Lisburn: <1/month<br>St Mark's, Ballymacash, Lisburn: <1/month<br>Trinity Methodist, Lisburn: <1/month",19.0,118.0,54.520005,-6.06629,"Killowen Primary School, Lisburn",104.0,5 or fewer,123-195 (29-47%),242.0,47.0,19.0,242 (58%),156.0,226.77423301955292,235.0,419.0,72.0,19.0
401-6192,33.0,19.0,1st Bangor Presbyterian: 4 or 5 visits<br>Ballycrochan Presbyterian: termly<br>Bangor Community Church: 4 or 5 visits<br>Bangor Elim: twice per term<br>Crown Jesus Ministries: once<br>Free Methodist: twice<br>Hamilton Road Baptist: twice<br>Hamilton Road Presbyterian: 4 or 5 visits<br>Scrabo Hall: 4 or 5 visits<br>Scripture Union: twice per term<br>Trinity Presbyterian: 4 or 5 visits<br>West Presbyterian: termly,44.0,248.0,54.654145,-5.631661,"Kilmaine Primary School, Bangor",352.0,Zero,359 (55%),443.0,84.0,7.0,443 (68%),191.0,316.4960732715198,239.0,653.0,0.0,44.0
