ref,name,postcode,management,pupils_total_2022_23,religion_protestant_2022_23,religion_catholic_2022_23,religion_other_2022_23,religion_protestant_est_low_2022_23,religion_catholic_est_low_2022_23,religion_other_est_low_2022_23,religion_protestant_est_mid_2022_23,religion_catholic_est_mid_2022_23,religion_other_est_mid_2022_23,religion_protestant_est_high_2022_23,religion_catholic_est_high_2022_23,religion_other_est_high_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
104-6672,Gaelscoil an Lonnain,BT124PD,Other Maintained,52,0,#,*,0,48,0,0,50,2,0,52,4,BT124PD,54.598146,-5.952671,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,72.11102550927978,0,48-52,0-4
105-0232,Harding Memorial Integrated Primary School ,BT68PZ,Controlled Integrated,224,66,40,118,66,40,118,66,40,118,66,40,118,BT68PZ,54.582608,-5.89852,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,149.66629547095766,66,40,118
105-6483,Cliftonville Integrated Primary School ,BT146JQ,Controlled Integrated,409,95,158,156,95,158,156,95,158,156,95,158,156,BT146JQ,54.617719,-5.946517,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,202.23748416156684,95,158,156
105-6535,Forge Integrated Primary School ,BT73HE,Controlled Integrated,393,81,130,182,81,130,182,81,130,182,81,130,182,BT73HE,54.571426,-5.914854,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,198.2422760159901,81,130,182
106-6531,Hazelwood Integrated Primary School ,BT367EN,Grant Maintained Integrated,447,107,188,152,107,188,152,107,188,152,107,188,152,BT367EN,54.653708,-5.930399,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,211.42374511865972,107,188,152
106-6580,Cranmore Integrated Primary School ,BT100JB,Grant Maintained Integrated,229,91,90,48,91,90,48,91,90,48,91,90,48,BT100JB,54.567245,-5.9836,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,151.32745950421557,91,90,48
201-0380,Londonderry Model Primary School ,BT487HJ,Controlled,274,13,171,90,13,171,90,13,171,90,13,171,90,BT487HJ,55.001857,-7.327068,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,165.52945357246847,13,171,90
201-0382,Ebrington Primary and Nursery School,BT476LR,Controlled,468,305,31,132,305,31,132,305,31,132,305,31,132,BT476LR,55.00355,-7.294566,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,216.33307652783938,305,31,132
201-1787,Kesh Primary School ,BT931RF,Controlled,242,198,13,31,198,13,31,198,13,31,198,13,31,BT931RF,54.5185,-7.724128,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,155.56349186104046,198,13,31
201-1789,Moat Primary School ,BT920JH,Controlled,131,110,*,#,110,0,17,110,2,19,110,4,21,BT920JH,54.250571,-7.441829,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,114.45523142259597,110,0-4,17-21
201-1860,Belleek Primary School ,BT933EZ,Controlled,38,27,*,#,27,0,7,27,2,9,27,4,11,BT933EZ,54.478584,-8.088848,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,61.64414002968976,27,0-4,07-Nov
201-1873,Aghadrumsee Primary School ,BT927AU,Controlled,35,#,0,*,31,0,0,33,0,2,35,0,4,BT927AU,54.228318,-7.273448,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,59.16079783099616,31-35,0,0-4
